"","links","names"
"100","/watch?v=jGT_A0vQjVA","DHMT19 SSBU | ESAM & Marss Vs. Smokk & Venom - Grand Finals"
"101","/watch?v=k4YjQoLBm7w","SSBU @ Battlegroundz - Grand Finals: Olympia[L] (Inkling/Jigglypuff) vs Jynx (Snake/Wii Fit Trainer)"
"102","/watch?v=W_AC_ZUKNQc","USW 39 - HMO | KingK (ROB) vs K2S | Eclipse (Greninja) Grand Finals - SSBU"
"103","/watch?v=WeFmg8LuoYI","SLUSH 11 - Creatious (ROB) vs ZBG|Aidan (Donkey Kong) Grand Finals SSBU"
"104","/watch?v=7Lexct7mFgg","The Side Deck #39 - Adachi (Luigi) VS El Chapo (Palutena) - SSBU Grand Finals"
"105","/watch?v=6dnAj6Q5TK0","Throwdown LX #66 - Iberyes (Pokémon Trainer) vs Zerin (Ness) - SSBU Grand Finals"
"106","/watch?v=l96SubaUXjw","MG&C ""Immortals"" 14 SSBU Singles - Grand Finals: Windows98 [W] (WFT) Vs. Exo [L] (Sonic, Cloud)"
"107","/watch?v=rpmApEanOSI","Smash Ultimate Tournament - Mr E (Lucina) Vs. Venia (Greninja) SSBU Xeno 177 Grand Finals"
"108","/watch?v=H_xwLMUfda4","Smash Ultimate Tournament - Venia (Greninja) Vs. Dabuz (Olimar) SSBU Xeno 176 Grand Finals"
"109","/watch?v=RW9heuZdFUo","Komota(Kirby) vs Darkshad(Joker, Shulk)  Big AL #8 SSBU  Grand Finals"
"110","/watch?v=ApkFPZvIpf4","GRAND FINALS - SSBU - Zen's Hotdog Stand #117 - SKITTLES!! (Young Link) vs TonyZtank (Sonic)"
"111","/watch?v=AfoT74n_Bn0","Uesma 25 SSBU - Zackray (Banjo) Vs. Kuro (ZSS) Smash Ultimate Tournament Grand Finals"
"112","/watch?v=Afy6V14jXaA","PURE Smash 9  SSBU Grand Finals - Senor (Pichu) vs Mexicutioner (Joker / Daisy)"
"113","/watch?v=MrnKcNzyK9w","DDC|Firehao (Diddy K.) vs DDC|Kenneth (Fox) (Grand Finals SSBU NGU2019)"
"114","/watch?v=QjCLjYz6kxw","SSBU @ Battlegroundz - Grand Finals: ClubberDan vs Nano"
"115","/watch?v=Kn0kLY7YIIc","La Choza #14 SSBU - Jacko (Little Mac) Vs. Blurry (Joker) Grand Finals"
"116","/watch?v=OtX-EdVo19w","La Choza #15 SSBU - Blurry (Joker) Vs. NF|Miguel (Peach) Grand Finals"
"117","/watch?v=5osHD-YIduk","Smash Ultimate Tournament - Dazai [L] (Roy) Vs. Dexter (Wolf) The Grind 90 SSBU Grand Finals"
"118","/watch?v=JOBule8Jnn4","La Choza #13 SSBU - Whisky (Robin) Vs. Rinku (Robin) Grand Finals"
"119","/watch?v=PF-6nQtH2AU","MSM 205 - R2G | Kameme (Mega man) Vs Solary | Glutonny (Wario) Grand Finals - Smash Ultimate"
"120","/watch?v=sljQx8BQTlQ","Spectrum #108 - Iluz | BONK! (Metaknight) Vs. NGG | SH | Chrismus (Inkling) - Grand Finals - SSBU"
"121","/watch?v=II3M5flO2Rg","Spectrum #108 - Jut / Atomsk Vs. Alfie / Tokyo - Grand Finals - SSBU"
"122","/watch?v=vfUwEaG0Nds","DDD31 SSBU Grand Finals - Elektroe (Young Link) vs Shiny (Jigglypuff / Wolf)"
"123","/watch?v=kw-QdobqacQ","UPRISING 2019 | Grand Finals - MkLeo(Chrom) vs GEKI | Gackt(Ness)"
"124","/watch?v=rglAqS8l3Wc","Standoff 2019 - NVR | Elegant (Luigi) Vs. APE | Goblin (Roy) Smash Ultimate Tournament Grand Finals"
"125","/watch?v=xC2C20_pFLo","Recharged #32 - Juice vs Bonk! - Grand Finals - SSBU"
"126","/watch?v=YR3ttvHEr4w","Recharged #31 - Jrx vs Deli - Grand Finals - SSBU"
"127","/watch?v=6cbFZtKWpfI","Microspacing #29 SSBU - Coda(Palutena) vs TH3KING(ROB) Grand Finals"
"128","/watch?v=CPIk5D7PlxE","SLUSH 10 - Tanman (Ness, Random) vs Creatious (Wolf, Random) Grand Finals SSBU"
"129","/watch?v=zn_1_bPXV50","TSL 187 SSBU Grand Finals - MikeAG (Wolf) VS BassMage (Fox)"
"130","/watch?v=OR73OLq836c","FNS (8/30/19) - Phenom (Fox) vs Tron (Pikachu) Grand Finals - SSBU"
"131","/watch?v=_aPTA22UAK4","Monster Slayer 1v1 Me SSBU - MisterMango (L) vs Kamikaze (Grand Final)"
"132","/watch?v=FiaGG0zhCWU","SL Ultimate #38 - Z (Palutena) vs Jayy (Meta Knight) - Grand Finals"
"133","/watch?v=eponP0-nGDQ","GRAND FINALS - SSBU - Zen's Hotdog Stand #116 - SKITTLES!! (Young Link) vs Skilly (Hero)"
