"","entry_nr","entry_date","entry_id","tournament","url","player","placement","character"
"9326",15,2018-12-10,"15-5","Kick Rocks #4 ","https://challonge.com/qjvwdhwz
"," Raul ",1,"Mario"
"9340",17,2018-12-12,"17-1","Mega Smash Mondays 169 ","https://smash.gg/tournament/mega-smash-mondays-169/events/ultimate-singles/brackets/436140/787424
"," MastaMario ",7,"Mario"
"9368",18,2018-12-13,"18-2","Ignition #161 ","https://urt.challonge.com/ignition161
"," Super Dan ",3,"Mario"
"9537",31,2018-12-16,"31-1","Don't Park on the Grass 2018 ",NA," SpamCop ",7,"Mario"
"9538",31,2018-12-16,"31-1","Don't Park on the Grass 2018 ",NA," Duwang ",7,"Mario"
"9650",41,2018-12-18,"41-5","Basement 6 ","https://challonge.com/BSMT6US
"," Maher ",2,"Mario"
"9655",43,2018-12-19,"43-1","Title Bout!: Ultimate ","https://smash.gg/tournament/title-bout-ultimate-1/events/ultimate-singles/overview
"," Welfare Pickles ",3,"Mario"
"9794",56,2018-12-23,"56-1","Super Splat Bros. ","https://smash.gg/tournament/super-splat-bros-1/events/ultimate-singles/brackets/383616/726251
"," Ally ",3,"Mario"
"9798",56,2018-12-23,"56-1","Super Splat Bros. ","https://smash.gg/tournament/super-splat-bros-1/events/ultimate-singles/brackets/383616/726251
"," Teb ",7,"Mario"
"9803",56,2018-12-23,"56-1","Super Splat Bros. ","https://smash.gg/tournament/super-splat-bros-1/events/ultimate-singles/brackets/383616/726251
"," Rice ",9,"Mario"
"9858",67,2018-12-25,"67-1","Ultimate Bonus Stage #1 ","https://smash.gg/tournament/ultimate-bonus-stage-1/details
"," - Rice ",2,"Mario"
"9866",68,2018-12-26,"68-1","Dreamhack Mumbai  ","https://www.ssbwiki.com/Tournament:DreamHack_Mumbai_2018
","	Qatar Kenji	",2,"Mario"
"9911",78,2018-12-28,"78-1","Back Throw Thursdays: Week 90 ",NA," Super Dan ",3,"Mario"
"9914",78,2018-12-28,"78-1","Back Throw Thursdays: Week 90 ",NA," Sayuki ",5,"Mario"
"9947",80,2018-12-29,"80-1","Let's Make Moves ",NA," Ninja ",5,"Mario"
"10009",86,2018-12-30,"86-1","The Pinnacle 2018 ",NA," SpamCop ",4,"Mario"
"10083",95,2018-12-31,"95-1","Posada Ultimate ",NA," Velamy ",4,"Mario"
"10112",100,2019-01-02,"100-1","No Pause Tournaments ","https://smash.gg/tournament/reality-royale-iv-350-in-pot-bonuses/events
"," - NPT Ninja ",9,"Mario"
"10217",123,2019-01-04,"123-1","Hollywood Action Tuesdays 47  ","https://smash.gg/tournament/hollywood-action-tuesdays-47/events/ultimate-singles/standings
"," - MastaMario ",7,"Mario"
"10218",124,2019-01-04,"124-1","Sink or Swim 115 ","https://smash.gg/tournament/sink-or-swim-115/events/ultimate-singles/standings
"," - Stroder ",1,"Mario"
"10221",124,2019-01-04,"124-1","Sink or Swim 115 ","https://smash.gg/tournament/sink-or-swim-115/events/ultimate-singles/standings
"," - JumboJack ",4,"Mario"
"10264",128,2019-01-05,"128-1","Weds Night Fights x Oakland 2018 ","https://smash.gg/tournament/weds-night-fights-x-oakland-2018-s2ep01/events/smash-ultimate/standings 
"," Prodigy ",4,"Mario"
"10301",132,2019-01-05,"132-2","SoCal Chronicles ","https://smash.gg/tournament/socal-chronicles-1/events/ultimate-singles/brackets/427685/777589
"," Zenyou ",5,"Mario"
